Shell Type,Charge Rings,Range (m),Elevation (mil),Time of Flight (sec),D ELEV PER 100M DR,TIME OF FLIGHT PER 100 M DR,Dispersion Radius (m)
HE,0,50,1540,13.2,61,0.0,6
HE,0,100,1479,13.2,63,0.2,6
HE,0,150,1416,13.0,66,0.2,6
HE,0,200,1350,12.8,71,0.2,6
HE,0,250,1279,12.6,78,0.3,6
HE,0,300,1201,12.3,95,0.6,6
HE,0,350,1106,11.7,151,1.0,6
HE,0,400,955,10.7,0,0.0,6
HE,1,100,1547,20.0,28,0.1,14
HE,1,200,1492,19.9,27,0.1,14
HE,1,300,1437,19.7,29,0.1,14
HE,1,400,1378,19.5,31,0.1,14
HE,1,500,1317,19.2,33,0.2,14
HE,1,600,1249,18.8,35,0.2,14
HE,1,700,1174,18.3,42,0.4,14
HE,1,800,1085,17.5,57,0.6,14
HE,1,900,954,16.1,148,1.8,14
HE,2,200,1538,26.6,15,0.0,24
HE,2,300,1507,26.5,16,0.0,24
HE,2,400,1475,26.4,16,0.0,24
HE,2,500,1443,26.3,16,0.1,24
HE,2,600,1410,26.2,16,0.1,24
HE,2,700,1376,26.0,17,0.1,24
HE,2,800,1341,25.8,18,0.1,24
HE,2,900,1305,25.5,20,0.1,24
HE,2,1000,1266,25.2,20,0.1,24
HE,2,1100,1225,24.9,22,0.2,24
HE,2,1200,1180,24.4,23,0.2,24
HE,2,1300,1132,23.9,27,0.3,24
HE,2,1400,1076,23.2,31,0.4,24
HE,2,1500,1009,22.3,43,0.6,24
HE,2,1600,912,20.9,109,1.9,24
HE,3,300,1534,31.7,12,0.0,32
HE,3,400,1511,31.6,11,0.0,32
HE,3,500,1489,31.6,12,0.1,32
HE,3,600,1466,31.5,12,0.1,32
HE,3,700,1442,31.4,12,0.1,32
HE,3,800,1419,31.3,12,0.1,32
HE,3,900,1395,31.1,13,0.1,32
HE,3,1000,1370,31.0,13,0.1,32
HE,3,1100,1344,30.8,13,0.1,32
HE,3,1200,1318,30.6,13,0.1,32
HE,3,1300,1291,30.3,14,0.1,32
HE,3,1400,1263,30.1,15,0.2,32
HE,3,1500,1233,29.0,7,15.0,32
HE,3,1600,1202,29.4,16,0.2,32
HE,3,1700,1169,29.0,17,0.2,32
HE,3,1800,1133,28.5,19,0.2,32
HE,3,1900,1094,28.0,21,0.3,32
HE,3,2000,1051,27.3,26,0.4,32
HE,3,2100,999,26.5,31,0.5,32
HE,3,2200,931,25.3,46,0.9,32
HE,3,2300,801,22.7,0,0.0,32
HE,4,400,1531,36.3,9,0.0,42
HE,4,500,1514,36.2,9,0.0,42
HE,4,600,1496,36.2,9,0.1,42
HE,4,700,1478,36.1,9,0.0,42
HE,4,800,1460,36.0,9,0.0,42
HE,4,900,1442,35.9,9,0.0,42
HE,4,1000,1424,35.8,10,0.0,42
HE,4,1100,1405,35.7,10,0.1,42
HE,4,1200,1385,35.6,9,0.1,42
HE,4,1300,1366,35.4,10,0.1,42
HE,4,1400,1346,35.3,10,0.1,42
HE,4,1500,1326,35.1,11,0.1,42
HE,4,1600,1305,34.9,11,0.1,42
HE,4,1700,1283,34.6,11,0.1,42
HE,4,1800,1261,34.4,11,0.1,42
HE,4,1900,1238,34.1,12,0.1,42
HE,4,2000,1214,33.8,12,0.1,42
HE,4,2100,1188,33.5,13,0.2,42
HE,4,2200,1162,33.1,14,0.2,42
HE,4,2300,1134,32.7,15,0.2,42
HE,4,2400,1104,32.2,17,0.2,42
HE,4,2500,1070,31.7,17,0.3,42
HE,4,2600,1034,31.0,20,0.3,42
HE,4,2700,993,30.3,25,0.5,42
HE,4,2800,942,29.2,31,0.6,42
HE,4,2900,870,27.7,64,1.5,42
Smoke,1,200,1463,17.7,36,0.1,11
Smoke,1,250,1427,17.6,36,0.1,11
Smoke,1,300,1391,17.5,39,0.2,11
Smoke,1,350,1352,17.3,38,0.1,11
Smoke,1,400,1314,17.2,43,0.3,11
Smoke,1,450,1271,16.9,44,0.2,11
Smoke,1,500,1227,16.7,49,0.3,11
Smoke,1,550,1178,16.4,54,0.4,11
Smoke,1,600,1124,16.0,64,0.6,11
Smoke,1,650,1060,15.4,78,0.7,11
Smoke,1,700,982,14.7,160,1.7,11
Smoke,1,750,822,13.0,0,0.0,11
Smoke,2,200,1528,24.8,19,0.1,20
Smoke,2,300,1491,24.7,19,0.1,20
Smoke,2,400,1453,24.6,19,0.1,20
Smoke,2,500,1414,24.4,19,0.1,20
Smoke,2,600,1374,24.2,20,0.1,20
Smoke,2,700,1333,24.0,22,0.1,20
Smoke,2,800,1289,23.7,23,0.2,20
Smoke,2,900,1242,23.3,25,0.2,20
Smoke,2,1000,1191,22.9,28,0.3,20
Smoke,2,1100,1133,22.3,31,0.3,20
Smoke,2,1200,1067,21.6,39,0.5,20
Smoke,2,1300,980,20.5,58,0.9,20
Smoke,2,1400,818,18.0,0,0.0,20
Smoke,3,300,1522,29.6,14,0.0,28
Smoke,3,400,1495,29.6,14,0.1,28
Smoke,3,500,1468,29.5,14,0.1,28
Smoke,3,600,1440,29.3,14,0.0,28
Smoke,3,700,1412,29.2,14,0.1,28
Smoke,3,800,1383,29.0,14,0.1,28
Smoke,3,900,1354,28.9,16,0.2,28
Smoke,3,1000,1323,28.6,16,0.1,28
Smoke,3,1100,1291,28.4,17,0.2,28
Smoke,3,1200,1257,28.1,18,0.2,28
Smoke,3,1300,1221,27.7,18,0.2,28
Smoke,3,1400,1183,27.3,20,0.2,28
Smoke,3,1500,1142,26.8,23,0.3,28
Smoke,3,1600,1096,26.2,25,0.3,28
Smoke,3,1700,1044,25.5,30,0.5,28
Smoke,3,1800,980,24.5,38,0.6,28
Smoke,3,1900,892,23.0,84,1.5,28
Smoke,4,400,1517,33.6,11,0.0,35
Smoke,4,500,1495,33.5,10,0.0,35
Smoke,4,600,1474,33.5,11,0.1,35
Smoke,4,700,1452,33.4,11,0.1,35
Smoke,4,800,1429,33.2,11,0.0,35
Smoke,4,900,1407,33.1,12,0.0,35
Smoke,4,1000,1383,33.0,11,0.1,35
Smoke,4,1100,1360,32.8,12,0.1,35
Smoke,4,1200,1335,32.6,12,0.1,35
Smoke,4,1300,1310,32.4,13,0.1,35
Smoke,4,1400,1284,32.1,14,0.1,35
Smoke,4,1500,1257,31.9,14,0.2,35
Smoke,4,1600,1228,31.5,15,0.1,35
Smoke,4,1700,1199,31.2,17,0.2,35
Smoke,4,1800,1166,30.8,16,0.2,35
Smoke,4,1900,1132,30.3,18,0.2,35
Smoke,4,2000,1096,29.8,21,0.3,35
Smoke,4,2100,1055,29.1,23,0.3,35
Smoke,4,2200,1008,28.4,28,0.5,35
Smoke,4,2300,952,27.4,36,0.7,35
Smoke,4,2400,871,25.8,67,1.5,35
Flare,1,200,1463,18.1,35,0.1,11
Flare,1,250,1428,18.0,37,0.1,11
Flare,1,300,1391,17.9,39,0.2,11
Flare,1,350,1352,17.7,40,0.1,11
Flare,1,400,1312,17.5,43,0.3,11
Flare,1,450,1269,17.3,45,0.2,11
Flare,1,500,1224,17.0,49,0.3,11
Flare,1,550,1175,16.7,55,0.4,11
Flare,1,600,1120,16.3,65,0.6,11
Flare,1,650,1055,15.7,81,0.7,11
Flare,1,700,974,15.0,151,1.7,11
Flare,1,750,823,13.3,0,0.0,11
Flare,2,200,1529,26.2,17,0.1,21
Flare,2,300,1493,26.1,18,0.1,21
Flare,2,400,1457,26.0,19,0.1,21
Flare,2,500,1419,25.8,19,0.1,21
Flare,2,600,1379,25.6,20,0.1,21
Flare,2,700,1338,25.4,21,0.2,21
Flare,2,800,1295,25.1,23,0.2,21
Flare,2,900,1249,24.7,25,0.2,21
Flare,2,1000,1199,24.3,27,0.3,21
Flare,2,1100,1144,23.7,30,0.3,21
Flare,2,1200,1081,23.0,35,0.4,21
Flare,2,1300,1005,22.0,47,0.6,21
Flare,2,1400,900,20.5,98,1.6,21
Flare,3,300,1521,31.1,14,0.0,29
Flare,3,400,1494,31.1,14,0.1,29
Flare,3,500,1466,31.0,14,0.1,29
Flare,3,600,1438,30.8,14,0.0,29
Flare,3,700,1409,30.7,14,0.1,29
Flare,3,800,1380,30.5,16,0.1,29
Flare,3,900,1349,30.3,16,0.1,29
Flare,3,1000,1317,30.1,16,0.2,29
Flare,3,1100,1284,29.8,18,0.2,29
Flare,3,1200,1249,29.4,19,0.2,29
Flare,3,1300,1212,29.1,20,0.3,29
Flare,3,1400,1172,28.6,21,0.2,29
Flare,3,1500,1128,28.1,22,0.3,29
Flare,3,1600,1081,27.4,26,0.3,29
Flare,3,1700,1027,26.6,30,0.4,29
Flare,3,1800,962,25.6,39,0.7,29
Flare,3,1900,875,24.1,67,1.3,29
Flare,4,400,1515,35.7,11,0.0,36
Flare,4,500,1493,35.7,11,0.1,36
Flare,4,600,1471,35.6,11,0.1,36
Flare,4,700,1448,45.5,11,0.1,36
Flare,4,800,1426,35.4,12,0.1,36
Flare,4,900,1402,35.2,12,0.1,36
Flare,4,1000,1378,35.0,12,0.1,36
Flare,4,1100,1353,34.8,13,0.1,36
Flare,4,1200,1328,34.6,13,0.1,36
Flare,4,1300,1301,34.4,14,0.2,36
Flare,4,1400,1274,34.1,14,0.1,36
Flare,4,1500,1245,33.8,15,0.2,36
Flare,4,1600,1215,33.4,15,0.1,36
Flare,4,1700,1184,33.0,17,0.2,36
